Year,GPA Range,Degrees Awarded,Percentage of Graduates,Average GPA at Graduation
2019-20,>3.49,565,43.4,3.4
2019-20,3.00-3.49,213,32.9,3.4
2019-20,2.50-2.99,32,4.9,3.4
2019-20,2.00-2.49,<10,2.2,3.4
2019-20,0.1-1.99,<10,<1,3.4
2020-21,>3.49,622,49.2,3.4
2020-21,3.00-3.49,209,36.3,3.4
2020-21,2.50-2.99,34,12.4,3.4
2020-21,2.00-2.49,<10,2.0,3.4
2020-21,0.1-1.99,<10,<1,3.4
2021-22,>3.49,827,57.3,3.4
2021-22,3.00-3.49,611,31.4,3.4
2021-22,2.50-2.99,157,9.8,3.4
2021-22,2.00-2.49,24,1.5,3.4
2021-22,0.1-1.99,<10,<1,3.4
2022-23,>3.49,921,57.6,3.5
2022-23,3.00-3.49,505,28.6,3.5
2022-23,2.50-2.99,156,10.6,3.5
2022-23,2.00-2.49,47,3.2,3.5
2022-23,0.1-1.99,<10,<1,3.5
2023-24,>3.49,852,52.8,3.5
2023-24,3.00-3.49,422,33.4,3.5
2023-24,2.50-2.99,166,11.4,3.5
2023-24,2.00-2.49,36,2.5,3.5
2023-24,0.1-1.99,<10,<1,3.5
