Term,Female,Male,Missing,Entire Population
Spring 2018,3.23,3.17,3.20,3.20
Winter 2018,3.19,3.16,3.20,3.18
Fall 2017,3.20,3.15,3.24,3.17
Spring 2017,3.20,3.14,3.25,3.17
Winter 2017,3.19,3.12,3.26,3.15
Fall 2016,3.18,3.12,--,3.15
Spring 2016,3.19,3.13,--,3.16
Winter 2015,3.18,3.12,--,3.15
Fall 2015,3.17,3.12,--,3.14
Spring 2015,3.15,3.11,--,3.13
Winter 2015,3.15,3.12,--,3.14
Fall 2014,3.13,3.09,--,3.11
Spring 2014,3.14,3.08,--,3.11
Winter 2014,3.12,3.07,--,3.09
Fall 2013,3.11,3.07,--,3.09
Spring 2013,3.12,3.06,--,3.09
Winter 2013,3.10,3.05,--,3.08
Fall 2012,3.09,3.04,--,3.07
Spring 2012,3.09,3.04,--,3.07
Winter 2012,3.07,3.03,--,3.05
Fall 2011,3.07,3.03,--,3.05
Spring 2011,3.08,3.03,--,3.06
Winter 2011,3.07,3.03,--,3.05
Fall 2010,3.06,3.03,--,3.04
Spring 2010,3.07,3.02,--,3.05
Winter 2010,3.07,3.02,--,3.04
Fall 2009,3.07,3.02,--,3.04
Spring 2009,3.06,3.00,--,3.03
Winter 2009,3.05,2.99,--,3.02
Fall 2008,3.04,2.99,--,3.02
Spring 2008,3.06,3.00,--,3.03
Winter 2008,3.04,2.98,--,3.01
Fall 2007,3.04,2.98,--,3.01
Spring 2007,3.05,3.00,--,3.03
Winter 2007,3.04,2.99,--,3.01
Fall 2006,3.03,2.98,--,3.01
Spring 2006,3.06,3.00,--,3.03
Winter 2006,3.04,2.99,--,3.02
Fall 2005,3.03,2.99,--,3.01
Spring 2005,3.07,3.00,--,3.03
Winter 2005,3.06,2.99,--,3.03
Fall 2004,3.05,2.99,--,3.02
Spring 2004,3.07,3.00,--,3.04
Winter 2004,3.06,2.99,--,3.02
Fall 2003,3.05,2.98,--,3.01
Spring 2003,3.07,2.98,--,3.03
Winter 2003,3.05,2.97,--,3.01
Fall 2002,3.05,2.96,--,3.01
Spring 2002,3.07,2.97,--,3.02
Winter 2002,3.06,2.96,--,3.01
Fall 2001,3.05,2.96,--,3.01
Spring 2001,3.07,2.97,--,3.02
Winter 2001,3.06,2.96,--,3.01
Fall 2000,3.05,2.94,--,3.00
